"ProcessName","Id","Path"
"ACMON","15540","C:\Program Files\WindowsApps\B9ECED6F.GameVisual_2.2.2.0_x64__qmba6cd70vzyy\ACMON.exe"
"ApplicationFrameHost","536","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"AppVShNotify","3528","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe"
"AppVShNotify","10640","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe"
"ArmouryCrate.Service","4588","C:\Program Files\ASUS\ARMOURY CRATE Service\ArmouryCrate.Service.exe"
"ArmouryCrate.UserSessionHelper","10304","C:\Program Files\ASUS\ARMOURY CRATE Service\ArmouryCrate.UserSessionHelper.exe"
"ArmourySocketServer","7828","C:\Program Files (x86)\ASUS\ArmouryDevice\dll\ArmourySocketServer\ArmourySocketServer.exe"
"ArmourySwAgent","14964","C:\Program Files (x86)\ASUS\ArmouryDevice\dll\SwAgent\ArmourySwAgent.exe"
"asus_framework","7880","C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"
"asus_framework","13988","C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"
"AsusLinkNear","4556","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSLinkNear\AsusLinkNear.exe"
"AsusLinkNearExt","4548","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSLinkNear\AsusLinkNearExt.exe"
"AsusLinkRemote","4580","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSLinkRemote\AsusLinkRemote.exe"
"asusns","6872","C:\Users\Trevo\AppData\Local\NhNotifSys\sonicstudio\asusns.exe"
"AsusOptimization","3864","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSOptimization\AsusOptimization.exe"
"AsusOptimizationStartupTask","7868","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSOptimization\AsusOptimizationStartupTask.exe"
"AsusOSD","13764","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSOptimization\AsusOSD.exe"
"AsusSoftwareManager","4564","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSSoftwareManager\AsusSoftwareManager.exe"
"AsusSoftwareManagerAgent","9460","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSSoftwareManager\AsusSoftwareManagerAgent.exe"
"AsusSystemAnalysis","4572","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSSystemAnalysis\AsusSystemAnalysis.exe"
"AsusSystemDiagnosis","4664","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_2346917970a59cb8\ASUSSystemDiagnosis\AsusSystemDiagnosis.exe"
"atieclxx","3112","C:\WINDOWS\System32\DriverStore\FileRepository\u0360120.inf_amd64_6caf8ce0d87c269d\B358199\atieclxx.exe"
"atiesrxx","3028","C:\WINDOWS\System32\DriverStore\FileRepository\u0360120.inf_amd64_6caf8ce0d87c269d\B358199\atiesrxx.exe"
"audiodg","3800","C:\WINDOWS\system32\AUDIODG.EXE"
"chrome","912","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","1888","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","2304","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","2500","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","4264","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","4748","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","5200","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","5460","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
"chrome","5768","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"
