"ServiceName","DisplayName","DependentServices","ServiceType","Status"
"AMD External Events Utility","AMD External Events Utility","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"Appinfo","Application Information","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"AppXSvc","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"ArmouryCrateService","ARMOURY CRATE Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"ASUSLinkNear","ASUS Link Near","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"ASUSLinkNearExt","ASUS Link Near Extension","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"ASUSLinkRemote","ASUS Link Remote","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"ASUSOptimization","ASUS Optimization","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"ASUSSoftwareManager","ASUS Software Manager","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"ASUSSystemAnalysis","ASUS System Analysis","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"ASUSSystemDiagnosis","ASUS System Diagnosis","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"Audiosrv","Windows Audio","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"BFE","Base Filtering Engine","System.ServiceProcess.ServiceController[]","Win32ShareProcess","Running"
"BrokerInfrastructure","Background Tasks Infrastructure Service","System.ServiceProcess.ServiceController[]","Win32ShareProcess","Running"
"BTAGService","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"BthAvctpSvc","AVCTP service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
